어휘,뜻풀이
다양하다,모양 빛깔 형태 양식 따위가 여러 가지로 많다
다언하다,수다스럽게 말이 많다
다예하다,여러 가지 예능에 능하다
다옥하다,초목 따위가 자라서 우거져 있다
다욕하다,욕됨이 많다
다욕하다,욕심이 많다
다우하다,내리는 비가 많다
다육하다,식물이나 동물 따위에 살이 많다
다음하다,색을 좋아하는 욕심이 지나치게 왕성하다
다의하다,한 낱말이나 표현에 여러 가지 뜻이 있다
다의하다,의심이 많다
다이내믹하다,동적이며 힘이 있다
다이하다,많이 다르다
다자녀하다,자녀가 많다
다자손하다,자손이 많다
다재다능하다,재주와 능력이 여러 가지로 많다
다재하다,재주가 많다
다점하다,점수가 많다점이 많다
다정다감하다,정이 많고 감정이 풍부하다
다정다한하다,애틋한 정도 많고 한스러운 일도 많다
다정스럽다,보기에 다정하거나 정다운 데가 있다
다정하다,정이 많다 또는 정분이 두텁다
다조하다,농작물에 쪼이는 햇볕의 양이 많다
다족하다,발이 많다 절지동물 가운데 지네나 그리마에서와 같이 체절에 다리가 많음을 이른다
다족하다,많고 넉넉하다
다족하다,친족이 많다
다종다양하다,가짓수나 양식 모양이 여러 가지로 많다
다종하다,종류가 많다
다죄하다,죄가 많다
다즙하다,식물의 열매 잎 줄기 따위에 물기나 즙이 많다
다지하다,지혜가 많다
다직하다,기껏 한다고 하면 기껏 많게 잡아서 기껏 많다고 하여야의 뜻으로 쓰는 말
다채롭다,여러 가지 색채나 형태 종류 따위가 한데 어울리어 호화스럽다
다채하다,여러 가지 색채나 형태 종류 따위가 어울리어 호화스럽다
다취미하다,취미가 많다
다취하다,취미가 많다
다한하다,여러 가지로 한이 많다
다함없다,그지없이 크거나 많다
다행다복하다,운이 좋고 복이 많다
다행스럽다,뜻밖에 일이 잘되어 운이 좋은 듯하다
다행하다,뜻밖에 일이 잘되어 운이 좋다
닥작닥작하다,먼지나 때 따위가 좀 두껍게 끼어 있다
닥지닥지하다,때나 먼지 따위가 많이 끼어 있다작은 것들이 빽빽이 있다
단금하다,교분이 아주 두텁거나 두 마음이 같다 쇠라도 자를 만하다는 뜻으로 역경 계사전의  에서 나온 말이다
단기하다,성질이 너그럽지 못하고 조급하다
단단무타하다,오직 한 가지 신념으로 다른 마음이 없다
단단하다,어떤 힘을 받아도 쉽게 그 모양이 변하거나 부서지지 아니하는 상태에 있다연하거나 무르지 않고 야무지고 튼튼하다속이 차서 실속이 있다헐겁거나 느슨하지 아니하고 튼튼하다뜻이나 생각이 흔들림 없이 강하다틀림이 없고 미덥다정도가 보통보다 심하다학문이나 사업 따위의 기반이 튼튼하다사람이 야무지고 의지가 강하다
단란하다,한 가족의 생활이 원만하고 즐겁다여럿이 함께 즐겁고 화목하다
단량하다,마음이 곧고 선량하다
단려하다,단정하고 아름답다
단명하다,간단하고 명료하다
단명하다,목숨이 짧다
단묘하다,단정하고 묘하다
단무타려하다,다른 근심이나 걱정이 조금도 없다
단문하다,글을 아는 것이 넉넉하지 못하다
단비하다,팔이 짧다는 뜻으로 재주가 부족함을 비유적으로 이르는 말
단세하다,명이 짧다
단소하다,짧고 작다
단수하다,수명이 짧다
단숙하다,단정하고 엄숙하다
단순하다,복잡하지 않고 간단하다외곬으로 순진하고 어수룩하다
단아하다,단정하고 아담하다
단약하다,외롭고 약하다
단엄침중하다,단정하고 엄숙하며 침착하고 무게가 있다
단엄하다,단정하고 엄숙하다
단연하다,바르게 정돈되어 가지런하다
단연하다,결연한 태도가 있다
단원하다,모나지 아니하고 둥글둥글하다가정이 원만하다
단일하다,단 하나로 되어 있다다른 것이 섞여 있지 않다복잡하지 않다
단작맞다,하는 짓이 얄밉게 치사스럽고 다라운 데가 있다
단작스럽다,하는 짓이 보기에 치사하고 다라운 데가 있다
단장하다,단정하고 장엄하다
단재하다,재주가 변변하지 못하다
단적스럽다, 단작스럽다
단정하다,옷차림새나 몸가짐 따위가 얌전하고 바르다
단정하다,깨끗이 정리되어 가지런하다
단조롭다,단순하고 변화가 없어 새로운 느낌이 없다
단조무미하다,단조롭고 재미가 없다
단조하다,가락이나 장단 따위가 변화 없이 단일하다사물이 단순하고 변화가 없어 새로운 느낌이 없다
단중하다,단정하고 정중하다
단지럽다,말이나 행동이 좀 더럽다
단지하다,지혜가 짧다
단직하다,바르고 곧다
단천하다,지혜 학문 따위가 짧고 얕다
단첨하다,짧고 뾰족하다
단촉하다,시일이 촉박하다음성이 짧고 급하다
단촐하다, 단출하다
단출하다,식구나 구성원이 많지 않아서 홀가분하다일이나 차림차림이 간편하다
단평하다,올바르고 공평하다
단학하다,학식이 얕다
단한하다,친족이 없이 고독하고 가난하다의지할 곳이 없고 춥다옷이 얇아 춥다
단호하다,결심이나 태도 입장 따위가 과단성 있고 엄격하다
단화하다,단정하고 아름답다
단확하다,바르고 정확하다
단후하다,참으로 두텁다
단후하다,예의 바르고 온후하다
달갑다,거리낌이나 불만이 없어 마음이 흡족하다
달갑잖다,거리낌이나 불만이 있어 마음이 흡족하지 아니하다
달곰삼삼하다,맛이 조금 달고 싱거운 듯하면서도 맛있다
달곰새금하다,단맛이 나면서 조금 신 맛이 있다 달콤새큼하다보다 여린 느낌을 준다
달곰쌉쌀하다,조금 달면서 약간 쓴맛이 있다
달곰씁쓸하다,단맛이 나면서 조금 쓰다
달곰하다,감칠맛이 있게 달다 달콤하다보다 여린 느낌을 준다
달근달근하다,재미가 있고 마음에 들다
달금하다,감칠맛이 있게 꽤 달다 달큼하다보다 여린 느낌을 준다
달다,꿀이나 설탕의 맛과 같다입맛이 당기도록 맛이 있다흡족하여 기분이 좋다마땅하여 기껍다
달디달다, 다디달다
달람하다,옷의 길이가 썩 짧다
달랑달랑하다,물품 따위가 거의 다 소비되어 얼마 남아 있지 않다
달름하다,입은 옷이 몸에 비하여 길이가 조금 짧다어울리지 않게 홀로 오뚝하다
달보드레하다,약간 달큼하다
달상하다,슬퍼하고 가슴 아파하다
달짜근하다,달짝지근하다의 준말달짝지근하다의 준말
달짝지근하다,약간 달콤한 맛이 있다흡족하여 기분이 좋은 데가 있다
달차근하다,달착지근하다의 준말
달착지근하다,약간 달콤한 맛이 있다 달짝지근하다보다 거센 느낌을 준다
달콤새큼하다,단맛이 나면서 조금 신 맛이 있다
달콤하다,감칠맛이 있게 달다흥미가 나게 아기자기하거나 간드러진 느낌이 있다편안하고 포근하다
달크무레하다,약간 달큼하다
달큼하다,감칠맛이 있게 꽤 달다
담결하다,맑고 깨끗하다
담담하다,차분하고 평온하다사사롭지 않고 객관적이다물의 흐름 따위가 그윽하고 평온하다아무 맛이 없이 싱겁다음식이 느끼하지 않고 산뜻하다어떤 느낌이나 무엇에 마음을 두지 않고 무관심하다
담담하다,물이 깊고 넓다
담대무쌍하다,매우 담대하다
담대하다,겁이 없고 배짱이 두둑하다
담덕하다,담력이 크다
담략하다,대담하고 꾀가 많다
담박하다,욕심이 없고 마음이 깨끗하다아무 맛이 없이 싱겁다음식이 느끼하지 않고 산뜻하다빛깔이 진하지 않고 산뜻하다
담백하다,욕심이 없고 마음이 깨끗하다아무 맛이 없이 싱겁다음식이 느끼하지 않고 산뜻하다빛깔이 진하지 않고 산뜻하다
담뿍담뿍하다,여럿이 다 또는 매우 넘칠 정도로 가득하거나 소복하다여럿이 다 또는 매우 많거나 넉넉하다
담뿍하다,넘칠 정도로 가득하거나 소복하다많거나 넉넉하다
담상담상하다,드물고 성기다
담소하다,담담하고 소박하다
담소하다,겁이 많고 배짱이 없다
담숙하다,포근하고 폭신하다
담숭담숭하다,간격이 촘촘하지 못하고 조금 드문드문하다
담심하다,못이 깊다학문에 대하여 연구가 깊다
담아하다,맑고 아담하다
담약하다,겁이 많고 담력이 약하다
담연하다,욕심이 없고 깨끗하다
담염하다,산뜻하고 아름답다
담용하다,대담하고 용맹스럽다
담지다, 담차다
담차다,겁이 없이 대담하고 여무지다
담탕하다,맑고 넓다맑고 화창하다
담하다,빛이 엷다욕심이 없고 마음이 깨끗하다음식이 느끼하지 않고 산뜻하다
담한하다,담이 서늘해지도록 몹시 두렵다
답답하다,숨이 막힐 듯이 갑갑하다애가 타고 갑갑하다융통성이 없이 고지식하다공간 따위가 비좁아 마음에 여유가 없다
답세다, 고달프다
답잡하다,북적북적하고 복잡하다
당그랗다,넓은 공간에 홀로 우뚝 드러나 있다
당글당글하다,작고 둥근 것이 단단하고 탄력 있다
당금같다,매우 보배롭고 귀하다
당당하다,남 앞에 내세울 만큼 모습이나 태도가 떳떳하다힘이나 세력이 크다
당돌하다,꺼리거나 어려워하는 마음이 조금도 없이 올차고 다부지다윗사람에게 대하는 것이 버릇이 없고 주제넘다
당박하다,어리석을 만큼 매우 순박하다
당실하다,건물 따위가 맵시 있게 높다
당약하다,눈을 휘둥그렇게 뜨고 볼 정도로 놀랍거나 괴이쩍다
당양하다,햇볕이 잘 들어 밝고 따뜻하다
당연하다,일의 앞뒤 사정을 놓고 볼 때 마땅히 그러하다
당연하다,눈을 휘둥그렇게 뜨고 볼 정도로 놀랍거나 괴이쩍다
당우하다,정직하기는 하나 어리석다
당직하다,어리석을 만큼 성격이 곧다
당직하다,하는 말이 충성스럽고 곧다
당차다,나이나 몸집에 비하여 마음가짐이나 하는 짓이 야무지고 올차다
당찮다,말이나 행동이 이치에 마땅하거나 적당하지 아니하다
당혹스럽다,정신이 헷갈리거나 생각이 막혀 어찌할 바를 몰라 하는 데가 있다
당황스럽다,놀라거나 다급하여 어찌할 바를 몰라 하는 데가 있다
대견스럽다,보기에 흐뭇하고 자랑스러운 데가 있다
대견하다,흐뭇하고 자랑스럽다
대공무사하다,매우 공평하고 사사로움이 없다
대공지정하다,아주 공변되고 지극히 올바르다
대공지평하다,하는 일이나 태도가 사사로움이나 그릇됨이 없이 아주 정당하고 떳떳하다
대교하다,매우 교묘하다 또는 일 따위를 하는 솜씨가 뛰어나다
대귀하다,대단히 귀하다
대그르르하다,가늘거나 작은 물건들 가운데서 조금 굵거나 크다과일 따위가 그리 크지는 않으나 고르고 단단하다밥이 설익어서 밥알이 끈기가 없이 오돌오돌하다
대근하다,견디기가 어지간히 힘들고 만만하지 않다
대글대글하다,가늘거나 작은 물건들 가운데서 몇 개가 드러나게 조금 굵거나 크다밥알이 설익었거나 너무 되거나 말라서 꼬들꼬들하다
대급하다,매우 급하다
대길하다,운이 매우 좋다 또는 일이 매우 상서롭다
대꾼대꾼하다,눈들이 모두 쏙 들어가고 생기가 없다 때꾼때꾼하다보다 여린 느낌을 준다
대꾼하다,눈이 쏙 들어가고 생기가 없다 때꾼하다보다 여린 느낌을 준다
대끼다,두렵고 마음이 불안하다
대단스럽다,보기에 대단한 데가 있다
대단찮다,그다지 중요하지 않다
대단하다,매우 심하다몹시 크거나 많다출중하게 뛰어나다아주 중요하다
대담무쌍하다,대담하기가 어디에 비할 데가 없다
대담스럽다,보기에 대담한 데가 있다
대담하다,담력이 크고 용감하다
대당하다,서로 낫고 못함이 없이 걸맞다
대도하다,도량이 크다
대동소이하다,큰 차이 없이 거의 같다
대등하다,서로 견주어 높고 낮음이나 낫고 못함이 없이 비슷하다
대란하다,크게 어지럽다
대문짝만하다,과장하여익살스럽게 매우 크다
대범스럽다,보기에 사소한 것에 얽매이지 않으며 너그러운 데가 있다
대범하다,성격이나 태도가 사소한 것에 얽매이지 않으며 너그럽다
대변불리하다,똥을 누는 것이 고르지 못하거나 시원하지 못하다
대비하다,중생의 괴로움을 구제하려는 자비심이 크다
대사롭다, 대수롭다
대살지다,몸이 야위고 파리하다
대상부동하다,조금도 비슷하지 않고 아주 다르다
대수롭다,중요하게 여길 만하다
대승하다,아주 낫거나 뛰어나게 좋다
대악무도하다,대단히 악독하고 사람의 도리에 어긋난 데가 있다
대안하다,나이가 서로 비슷한 벗 사이의 편지글에서 상대편의 안부를 물을 때에 평안하다의 뜻으로 쓰는 말
대역무도하다,임금이나 나라에 큰 죄를 지어 도리에 크게 어긋난 데가 있다
