어휘,뜻풀이
간솔하다,단순하고 솔직하다
간신간신하다,몹시 어렵고 고생스럽다
간신하다,힘들고 고생스럽다
간심하다,시문이 해석하기 어렵고 뜻이 깊다
간악무도하다,간사하고 악독하며 도리에 어긋나는 데가 있다
간악무쌍하다,더할 나위 없이 간사하고 악독하다
간악스럽다,간사하고 악독한 데가 있다
간악하다,간사하고 악독하다
간약하다,간단하고 짤막하다
간여리다, 가녀리다
간엷다, 가냘프다
간오하다,뜻이 크고 오만하다
간요하다,간사하고 요망하다
간요하다,매우 요긴하다
간요하다,간단하고 긴요하다
간위하다,간사하고 거짓이 많다
간잔지런하다,매우 가지런하다졸리거나 술에 취하여 위아래 두 눈시울이 서로 맞닿을 듯하다
간절하다,정성이나 마음 씀씀이가 더없이 정성스럽고 지극하다마음속에서 우러나와 바라는 정도가 매우 절실하다
간정하다,매우 깨끗하고 순수하다일 처리를 잘하여 뒤끝이 깨끗하다
간정하다,간결하고 깨끗하다
간조하다,건조하다의 원말
간조하다,간단하고 조잡하다
간즈런하다, 가지런하다
간지다,붙은 데가 가늘고 약하여 곧 끊어질 듯하다간드러진 멋이 있다
간지럽다,무엇이 살에 닿아 가볍게 스칠 때처럼 견디기 어렵게 자리자리한 느낌이 있다어떤 일을 하고 싶어 참고 견디기 어렵다몹시 어색하거나 거북하거나 더럽고 치사하여 마음에 자리자리한 느낌이 있다
간지하다,지성스럽고 참되다
간첩하다,간단하고 빠르다
간초하다,힘들고 괴롭다
간측하다,몹시 딱하고 가엾다간절하고 지성스럽다
간친스럽다,보기에 다정하고 친밀한 데가 있다
간탐하다,몹시 인색하고 욕심이 많다
간특스럽다,보기에 간사하고 악독한 데가 있다
간특하다,간사하고 악독하다
간편하다,간단하고 편리하다
간핍하다,살림이 매우 어려워 없는 것이 많다
간하다,겉으로는 정성스러운 듯 능갈치다
간할하다,간사하고 꾀가 많다
간항하다,뜻이 크고 오만하다
간핵하다,간단하고 확실하다
간험하다,간악하고 음험하다
간험하다,지세가 다니기에 위험하고 어렵다
간활하다,간사하고 교활하다
간휼하다,간사하고 음흉하다
간흉하다,간사하고 흉악하다
간힐하다,간사하고 잔꾀가 많다
갈걍갈걍하다,얼굴이 파리하고 몸이 여윈 듯하나 단단하고 굳센 기상이 있다
갈골하다,일에 파묻혀 몹시 바쁘다
갈급하다,목이 마른 듯이 몹시 조급하다
갈데없다,오직 그렇게밖에는 달리 될 수 없다
갈릉스럽다, 간능스럽다
갈신스럽다, 걸신스럽다
갈씬스럽다, 걸신스럽다
갈쭉하다,액체가 묽지 아니하고 조금 걸다
갈하다,목이 타고 마른 듯하다
감가하다,길이 험하여 다니기가 힘들다일이 뜻대로 안 되어 마음이 답답하다
감감하다,멀어서 아득하다어떤 사실을 전혀 모르거나 잊은 상태이다 깜깜하다보다 여린 느낌을 준다소식이나 연락이 전혀 없다
